Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Where the Truth Lies,2005,Unrated,07 Oct 2005,107 min,"Crime, Mystery, Thriller",Atom Egoyan,"Atom Egoyan, Rupert Holmes","Kevin Bacon, Colin Firth, Alison Lohman","Karen O'Connor, a young journalist known for her celebrity profiles, is consumed with discovering the truth behind a long-buried incident that affected the lives and careers of showbiz team Vince Collins and Lanny Morris.","English, Cantonese",Canada,2 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMTI2NzQ3ODc3OV5BMl5BanBnXkFtZTcwMjEzMTEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.4,"18,962",tt0373450,movie,28 Aug 2007,"$872,142",N/A,N/A,True
Cirque du Soleil: Worlds Away,2012,PG,21 Dec 2012,91 min,Fantasy,Andrew Adamson,Andrew Adamson,"Erica Linz, Igor Zaripov, Lutz Halbhubner","A young woman is entranced by an aerialist. When they fall into the dreamlike world of Cirque du Soleil and are separated, they travel through the different tent worlds trying to find each other.",English,"United States, Canada, New Zealand",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTQxMjY0MzgzMl5BMl5BanBnXkFtZTcwNjc0NjQ2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.7,"8,284",tt1792647,movie,N/A,"$12,512,862",N/A,N/A,True
Without Limits,1998,PG-13,11 Sep 1998,117 min,"Biography, Drama, Sport",Robert Towne,"Robert Towne, Kenny Moore","Billy Crudup, Donald Sutherland, Monica Potter",The life of renowned runner Steve Prefontaine and his relationship with legendary coach Bill Bowerman.,"English, Finnish, German",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BODMwNDY1MzQtNjExZC00YTIwLTkyYjctOWI1MjcxYTM1ZTQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.2,"7,707",tt0119934,movie,N/A,"$777,423",N/A,N/A,True
Me and Orson Welles,2008,PG-13,18 Dec 2009,114 min,"Comedy, Drama",Richard Linklater,"Robert Kaplow, Holly Gent, Vincent Palmo Jr.","Zac Efron, Claire Danes, Christian McKay","In 1937, a teenager is cast in the Mercury Theatre production of ""Julius Caesar"", directed by a young Orson Welles.",English,"United Kingdom, Isle of Man, United States",Nominated for 1 BAFTA Award5 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BNzc3MzIyMTItYjZmOS00NzE2LWFkMGItMjNmOGRjZDg2MDU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.7,"11,966",tt1175506,movie,N/A,"$1,190,003",N/A,N/A,True
The Best Offer,2013,R,01 Jan 2014,131 min,"Crime, Drama, Mystery",Giuseppe Tornatore,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks","Virgil Oldman, a wealthy art auctioneer, takes the help of a young artificer, Robert, to understand and woo Claire Ibbetson, a young heiress, who hires him to auction off an antique collection.","English, Italian",Italy,25 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ4MzQ3NjA0N15BMl5BanBnXkFtZTgwODQyNjQ4MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.8,"132,598",tt1924396,movie,N/A,"$100,035",N/A,N/A,True
Bad Lieutenant: Port of Call New Orleans,2009,R,11 Dec 2009,122 min,"Crime, Drama, Mystery",Werner Herzog,William M. Finkelstein,"Nicolas Cage, Eva Mendes, Russell M. Haeuser",Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.,"English, Spanish",United States,3 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyMzY0NTMzMF5BMl5BanBnXkFtZTcwMTc1MjY4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.6,"82,374",tt1095217,movie,N/A,"$1,702,112",N/A,N/A,True
A Turtle's Tale: Sammy's Adventures,2010,PG,13 Jul 2012,88 min,"Animation, Adventure, Family","Ben Stassen, Mimi Maynard","Ben Stassen, Domonic Paris","Anthony Anderson, Ed Begley Jr., Pat Carroll","A sea turtle, who was hatched in 1959, spends the next fifty years travelling the world, while it is being changed by global warming.","Dutch, French, English","France, Belgium, United States, Hong Kong",1 nomination total,https://m.media-amazon.com/images/M/MV5BYjk0MTkwZDEtYzQ0MC00MWU2LWFmOGEtZGU1MTZmNTE1YmI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",N/A,6.0,"8,416",tt1230204,movie,N/A,N/A,N/A,N/A,True
Little White Lies,2010,Not Rated,20 Oct 2010,154 min,"Comedy, Drama",Guillaume Canet,Guillaume Canet,"François Cluzet, Marion Cotillard, Benoît Magimel",A near-fatal accident leaves one friend in the hospital while the rest go on their annual vacation. But their secrets and personal grief threaten to drive them apart.,French,"France, Belgium",4 nominations total,https://m.media-amazon.com/images/M/MV5BMWU5YTkxNDktZDMyYy00YmM1LTk0OTAtNDQyM2FkYTM4ZGFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,7.1,"27,618",tt1440232,movie,N/A,"$206,088",N/A,N/A,True
Love Ranch,2010,R,06 Jan 2011,117 min,"Biography, Comedy, Drama",Taylor Hackford,Mark Jacobson,"Helen Mirren, Joe Pesci, Sergio Peris-Mencheta",A drama revolving around a married couple who opened the first legal brothel in Nevada.,English,"Germany, United States",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTQwNzgyNzA4OV5BMl5BanBnXkFtZTcwNzA0MDk0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.6,"3,428",tt1125929,movie,N/A,"$137,885",N/A,N/A,True
The True Story of Puss'N Boots,2009,G,01 Apr 2009,80 min,"Animation, Adventure, Comedy","Jérôme Deschamps, Pascal Hérold, Macha Makeïeff","Pascal Hérold, Jérôme Deschamps, Charles Perrault","Jérôme Deschamps, Yolande Moreau, Arthur Deschamps","An adaptation of Charles Perrault's famous Puss'n Boots, ""The True Story of Puss'n Boots"" is a story for young and old for the first time on cinema screens.","English, French","France, Belgium, Switzerland, United States",N/A,https://m.media-amazon.com/images/M/MV5BNGI4YmRlNGMtMjBmMi00N2QwLWI2NjktMTlkOTc1NTFkNmNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}]",N/A,3.1,"1,192",tt1239462,movie,N/A,N/A,N/A,N/A,True
